evidence_id	original_source	original_reference_build	original_chrom	original_start	original_end	mapped_reference_build	mapped_chrom	mapped_start	mapped_end	mapping_method	mapping_confidence	mapping_status	failure_reason	notes
KGE_00000035	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1168647	1171130	IRGSP-1.0 / GCF_001433935.1	1	1168647	1171130	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000036	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1347665	1348723	IRGSP-1.0 / GCF_001433935.1	1	1347665	1348723	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000037	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1353705	1354767	IRGSP-1.0 / GCF_001433935.1	1	1353705	1354767	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000038	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1356413	1361286	IRGSP-1.0 / GCF_001433935.1	1	1356413	1361286	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000039	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1363710	1364282	IRGSP-1.0 / GCF_001433935.1	1	1363710	1364282	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000040	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1365586	1366432	IRGSP-1.0 / GCF_001433935.1	1	1365586	1366432	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000041	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1413839	1418982	IRGSP-1.0 / GCF_001433935.1	1	1413839	1418982	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000042	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1433996	1436809	IRGSP-1.0 / GCF_001433935.1	1	1433996	1436809	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000043	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1437163	1445599	IRGSP-1.0 / GCF_001433935.1	1	1437163	1445599	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000044	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1446849	1450473	IRGSP-1.0 / GCF_001433935.1	1	1446849	1450473	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000045	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1486400	1488897	IRGSP-1.0 / GCF_001433935.1	1	1486400	1488897	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000046	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1490494	1492684	IRGSP-1.0 / GCF_001433935.1	1	1490494	1492684	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000047	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1497241	1500606	IRGSP-1.0 / GCF_001433935.1	1	1497241	1500606	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000048	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1513138	1514432	IRGSP-1.0 / GCF_001433935.1	1	1513138	1514432	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000049	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1549241	1551011	IRGSP-1.0 / GCF_001433935.1	1	1549241	1551011	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000050	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1569644	1570940	IRGSP-1.0 / GCF_001433935.1	1	1569644	1570940	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000051	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1625159	1626574	IRGSP-1.0 / GCF_001433935.1	1	1625159	1626574	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000052	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1746418	1748443	IRGSP-1.0 / GCF_001433935.1	1	1746418	1748443	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000053	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1765034	1768669	IRGSP-1.0 / GCF_001433935.1	1	1765034	1768669	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000054	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1813011	1817601	IRGSP-1.0 / GCF_001433935.1	1	1813011	1817601	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000055	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1843817	1849094	IRGSP-1.0 / GCF_001433935.1	1	1843817	1849094	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000056	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1867814	1870416	IRGSP-1.0 / GCF_001433935.1	1	1867814	1870416	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000057	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1902741	1905247	IRGSP-1.0 / GCF_001433935.1	1	1902741	1905247	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000058	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1931016	1931904	IRGSP-1.0 / GCF_001433935.1	1	1931016	1931904	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000059	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1944276	1944948	IRGSP-1.0 / GCF_001433935.1	1	1944276	1944948	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000060	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	1948773	1949587	IRGSP-1.0 / GCF_001433935.1	1	1948773	1949587	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000061	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2080058	2081540	IRGSP-1.0 / GCF_001433935.1	1	2080058	2081540	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000062	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2120489	2122320	IRGSP-1.0 / GCF_001433935.1	1	2120489	2122320	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000063	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2131433	2137293	IRGSP-1.0 / GCF_001433935.1	1	2131433	2137293	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000064	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2154326	2155994	IRGSP-1.0 / GCF_001433935.1	1	2154326	2155994	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000065	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2202278	2203787	IRGSP-1.0 / GCF_001433935.1	1	2202278	2203787	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000066	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2250838	2255073	IRGSP-1.0 / GCF_001433935.1	1	2250838	2255073	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000067	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2275067	2278872	IRGSP-1.0 / GCF_001433935.1	1	2275067	2278872	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000068	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2281913	2284775	IRGSP-1.0 / GCF_001433935.1	1	2281913	2284775	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000069	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2294904	2298329	IRGSP-1.0 / GCF_001433935.1	1	2294904	2298329	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000070	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2560897	2565321	IRGSP-1.0 / GCF_001433935.1	1	2560897	2565321	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000071	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2589835	2593568	IRGSP-1.0 / GCF_001433935.1	1	2589835	2593568	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000072	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2669251	2674068	IRGSP-1.0 / GCF_001433935.1	1	2669251	2674068	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000073	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2681220	2686364	IRGSP-1.0 / GCF_001433935.1	1	2681220	2686364	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000074	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2686729	2687456	IRGSP-1.0 / GCF_001433935.1	1	2686729	2687456	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000075	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2688460	2692024	IRGSP-1.0 / GCF_001433935.1	1	2688460	2692024	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000076	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2713412	2717527	IRGSP-1.0 / GCF_001433935.1	1	2713412	2717527	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000077	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2770145	2774208	IRGSP-1.0 / GCF_001433935.1	1	2770145	2774208	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000078	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2810313	2815017	IRGSP-1.0 / GCF_001433935.1	1	2810313	2815017	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000079	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2830325	2833879	IRGSP-1.0 / GCF_001433935.1	1	2830325	2833879	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000080	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2839934	2843512	IRGSP-1.0 / GCF_001433935.1	1	2839934	2843512	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000081	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2851954	2855225	IRGSP-1.0 / GCF_001433935.1	1	2851954	2855225	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000082	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2962312	2965020	IRGSP-1.0 / GCF_001433935.1	1	2962312	2965020	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000083	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2982542	2986094	IRGSP-1.0 / GCF_001433935.1	1	2982542	2986094	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000084	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	2986329	2989280	IRGSP-1.0 / GCF_001433935.1	1	2986329	2989280	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000085	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3013915	3014751	IRGSP-1.0 / GCF_001433935.1	1	3013915	3014751	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000086	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3039253	3041381	IRGSP-1.0 / GCF_001433935.1	1	3039253	3041381	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000087	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3067950	3071237	IRGSP-1.0 / GCF_001433935.1	1	3067950	3071237	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000088	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3091435	3092698	IRGSP-1.0 / GCF_001433935.1	1	3091435	3092698	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000089	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3097415	3098527	IRGSP-1.0 / GCF_001433935.1	1	3097415	3098527	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000090	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3124369	3125331	IRGSP-1.0 / GCF_001433935.1	1	3124369	3125331	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000091	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3129106	3130722	IRGSP-1.0 / GCF_001433935.1	1	3129106	3130722	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000092	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3143601	3146812	IRGSP-1.0 / GCF_001433935.1	1	3143601	3146812	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000093	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3181963	3185331	IRGSP-1.0 / GCF_001433935.1	1	3181963	3185331	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000094	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3189117	3190330	IRGSP-1.0 / GCF_001433935.1	1	3189117	3190330	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000095	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3196986	3200010	IRGSP-1.0 / GCF_001433935.1	1	3196986	3200010	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000096	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3222303	3225613	IRGSP-1.0 / GCF_001433935.1	1	3222303	3225613	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000097	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3251204	3252724	IRGSP-1.0 / GCF_001433935.1	1	3251204	3252724	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000098	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3272839	3276375	IRGSP-1.0 / GCF_001433935.1	1	3272839	3276375	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000099	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3282953	3286550	IRGSP-1.0 / GCF_001433935.1	1	3282953	3286550	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000100	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3343531	3355066	IRGSP-1.0 / GCF_001433935.1	1	3343531	3355066	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000101	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3356383	3358426	IRGSP-1.0 / GCF_001433935.1	1	3356383	3358426	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000102	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3362062	3367658	IRGSP-1.0 / GCF_001433935.1	1	3362062	3367658	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
KGE_00000103	RAP-DB_curated_genes	IRGSP-1.0 / GCF_001433935.1	1	3456869	3464965	IRGSP-1.0 / GCF_001433935.1	1	3456869	3464965	source_reported_gene_coordinate_or_annotation_join	high	mapped_high_confidence	NA	coordinate mapping audit; not a causal label
