qtl_evidence_id	trait_id_or_name	trait_name_normalized	chrom	start	end	interval_length	source_database	source_record_id	evidence_type	coordinate_mapping_status	reference_build	linked_gene_id	linked_gene_symbol	allowed_usage	notes
QTL_QTARO_00000017	fertility-restoring	fertility restoring	10	19255571	19690557	434987	Q-TARO	17	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Rf5	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000018	fertility-restoring	fertility restoring	10	19255571	19255928	358	Q-TARO	18	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Rf6(t)	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000019	stress root length (SRL)	stress root length srl	1	42157734	42364623	206890	Q-TARO	19	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000020	relative root length (RRL)	relative root length rrl	1	42157734	42364623	206890	Q-TARO	20	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000021	Phyllochron	phyllochron	10	13111494	14711256	1599763	Q-TARO	21	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Phyllochron	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000022	Tiller number	tiller number	2	23021123	26356387	3335265	Q-TARO	22	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Tiller number	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000023	tiller-bud dormancy	tiller bud dormancy	2	26352595	27974295	1621701	Q-TARO	23	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	T2-2tiller	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000024	early elongation ability using the lowest elongated internode (LEI) concept	early elongation ability using the lowest elongated internode lei concept	12	23749070	26368115	2619046	Q-TARO	24	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000025	Spikelet fertility	spikelet fertility	4	31786937	31949802	162866	Q-TARO	25	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Ctb1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000026	Honeydew weight (HDW)	honeydew weight hdw	2	20728825	25430309	4701485	Q-TARO	26	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000027	Days to wilt (DW4)	days to wilt dw4	7	4085041	21393981	17308941	Q-TARO	27	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000028	plant height	plant height	1	41923730	41923950	221	Q-TARO	28	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000029	days to heading	days to heading	8	4377457	4377597	141	Q-TARO	29	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000030	ultraviolet-B (UVB) resistance	ultraviolet b uvb resistance	10	4320288	4324891	4604	Q-TARO	30	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qUVR-10	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000031	eui (for elongated uppermost internode),	eui for elongated uppermost internode	5	23655231	23802397	147167	Q-TARO	31	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Eui	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000032	number of primary branches per panicle (BPP)	number of primary branches per panicle bpp	4	29158445	33234173	4075729	Q-TARO	32	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000033	number of florets per branch (FPB)	number of florets per branch fpb	11	383711	2827670	2443960	Q-TARO	33	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000034	frequency of pre-flowering floret abortion (%FA)	frequency of pre flowering floret abortion fa	10	19577439	22899293	3321855	Q-TARO	34	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000035	Grainyield:	grainyield	2	32389877	32389986	110	Q-TARO	35	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	yld2.1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000036	cytoplasmic male sterility restorer gene	cytoplasmic male sterility restorer gene	10	19343755	19470171	126417	Q-TARO	36	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Rf-1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000037	"commonly in spikelets per panicle (SPP), grains per panicle (GPP), heading date (HD) and plant height (PH)"""	commonly in spikelets per panicle spp grains per panicle gpp heading date hd and plant height ph	8	5108226	5115915	7690	Q-TARO	37	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000038	"1,000-grain weight"""	1 000 grain weight	2	10835902	12493559	1657658	Q-TARO	38	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	tgw2	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000039	thermo-sensitive genic male-sterile	thermo sensitive genic male sterile	2	6387908	6469287	81380	Q-TARO	39	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	tms5	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000040	grain length	grain length	3	17142206	17260389	118184	Q-TARO	40	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qGL-3a	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000041	Panicle per plant	panicle per plant	1	4424186	4424560	375	Q-TARO	41	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qPN1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000042	"1,000-grain weight """	1 000 grain weight	5	10787462	10787755	294	Q-TARO	42	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qGW5	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000043	tissue culture	tissue culture	1	15849886	15856220	6335	Q-TARO	43	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSv1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000044	wide-compatibility	wide compatibility	11	9035057	9035344	288	Q-TARO	44	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	S18	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000045	Bentazon-sensitivities	bentazon sensitivities	3	32233979	32347378	113400	Q-TARO	45	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	be1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000046	partial resistance to leaf blast	partial resistance to leaf blast	1	33864124	35233045	1368922	Q-TARO	46	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Pi35(t)	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000047	secondary branch number	secondary branch number	3	36693668	37199035	505368	Q-TARO	47	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSBN-3b	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000048	primary branch number	primary branch number	10	5016823	10014985	4998163	Q-TARO	48	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qPBN-10	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000049	spikelet number per panicle	spikelet number per panicle	4	679929	13211273	12531345	Q-TARO	49	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSNP-4a	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000050	pistilloid stamen	pistilloid stamen	1	1622417	1642432	20016	Q-TARO	50	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	PS	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000051	shattering	shattering	1	38110750	38249213	138464	Q-TARO	51	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSH1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000052	excessive tiller number	excessive tiller number	6	3085639	3085922	284	Q-TARO	52	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ext-MlB (t)	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000053	Brown planthopper	brown planthopper	12	22456650	23301307	844658	Q-TARO	53	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Bph18(t)	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000054	Plant age in leaf number F-C	plant age in leaf number f c	4	24646179	25619040	972862	Q-TARO	54	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000055	Plant age in leaf number F-RP	plant age in leaf number f rp	4	24646179	25619040	972862	Q-TARO	55	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000056	Plant age in leaf number NF-C	plant age in leaf number nf c	4	24646179	25619040	972862	Q-TARO	56	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000057	Plant age in leaf number NF-RP	plant age in leaf number nf rp	4	21926953	24646318	2719366	Q-TARO	57	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000058	DRW F-C	drw f c	6	30762933	31849183	1086251	Q-TARO	58	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000059	DRW Average	drw average	6	30762933	31849183	1086251	Q-TARO	59	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000060	No. of new roots F-C	no of new roots f c	4	33424905	33430563	5659	Q-TARO	60	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000061	No. of new roots F-RP	no of new roots f rp	4	33424905	33430563	5659	Q-TARO	61	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000062	No. of new roots NF-C	no of new roots nf c	4	33424905	33430563	5659	Q-TARO	62	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000063	No. of new roots NF-RP	no of new roots nf rp	4	33424905	33430563	5659	Q-TARO	63	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000064	No. of new roots Average	no of new roots average	4	31080146	33425145	2345000	Q-TARO	64	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000065	Maximum new root length F-RP	maximum new root length f rp	1	41963580	44719439	2755860	Q-TARO	65	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000066	Maximum new root length NF-C	maximum new root length nf c	9	22021233	23552932	1531700	Q-TARO	66	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000067	Maximum new root length NF-RP	maximum new root length nf rp	6	30762933	31849183	1086251	Q-TARO	67	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000068	Maximum new root length Average	maximum new root length average	4	27941367	30762314	2820948	Q-TARO	68	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000069	Root-to-shoot ratio F-RP	root to shoot ratio f rp	6	23557477	28706469	5148993	Q-TARO	69	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000070	Root-to-shoot ratio Average	root to shoot ratio average	1	27797914	30720282	2922369	Q-TARO	70	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000071	purple stigma	purple stigma	6	5096744	5425602	328859	Q-TARO	71	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Ps-4	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000072	green rice leafhopper	green rice leafhopper	8	26582935	27651023	1068089	Q-TARO	72	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Grh5	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000073	small grain,	small grain	3	17343910	17472917	129008	Q-TARO	73	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	GS3	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000074	blast resistance	blast resistance	6	18094296	18246420	152125	Q-TARO	74	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Pi-d2	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000075	brown planthopper 	brown planthopper	3	7252976	7328472	75497	Q-TARO	75	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	bph19(t)	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000076	tolerance to low temperature stress	tolerance to low temperature stress	12	5645531	5804408	158878	Q-TARO	76	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qCTS12	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000077	plant height	plant height	1	36697294	42364623	5667330	Q-TARO	77	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ph1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000078	tiller angle	tiller angle	9	19168716	20079157	910442	Q-TARO	78	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ta9	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000079	flag leaf length	flag leaf length	1	36697294	42364623	5667330	Q-TARO	79	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	fll1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000080	flag leaf angle	flag leaf angle	1	42496228	43337260	841033	Q-TARO	80	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	fla1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000081	leaf chlorophyll content at flowering (SPAD)	leaf chlorophyll content at flowering spad	4	6571336	24646318	18074983	Q-TARO	81	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qCCFJ-4	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000082	leaf chlorophyll content 25 days after flowering	leaf chlorophyll content 25 days after flowering	9	18374393	20828859	2454467	Q-TARO	82	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qCCAI-9	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000083	ｒeduction in chlorophyll content	eduction in chlorophyll content	6	4234080	6399814	2165735	Q-TARO	83	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qRCRJ-6	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000084	number of late-discoloring leaves per panicle at 25 DAF	number of late discoloring leaves per panicle at 25 daf	6	4234080	28130383	23896304	Q-TARO	84	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	"qLDLJ-6-1,2,3"""	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only; broad_interval
QTL_QTARO_00000085	"FLS, mg Si per 100 mg dryweight in the flag leaf"""	fls mg si per 100 mg dryweight in the flag leaf	1	29092066	31822450	2730385	Q-TARO	85	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qHUS-1-2	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000086	"STS, mg Si per 100 mg dry weight in the stem"""	sts mg si per 100 mg dry weight in the stem	1	5558578	5759851	201274	Q-TARO	86	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSTS-1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000087	Amylose content	amylose content	6	1764586	2292076	527491	Q-TARO	87	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ac6	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000088	grain number	grain number	4	25273817	25274481	665	Q-TARO	88	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qGP4	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000089	percentage germination　after1-45 days of incubationafter at25 C for 11days ripening	percentage germination after1 45 days of incubationafter at25 c for 11days ripening	7	6413144	6413348	205	Q-TARO	89	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	qSD7-1	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000090	chlorophyll a/b ratioat the 7th day after heading	chlorophyll a b ratioat the 7th day after heading	3	3939279	4098191	158913	Q-TARO	90	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	ｑCR-3	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000091	Cd concentration in brown rice	cd concentration in brown rice	8	1584134	5333855	3749722	Q-TARO	91	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	NA	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
QTL_QTARO_00000092	blast resistance (resistance/susceptible)	blast resistance resistance susceptible	2	36292667	36292865	199	Q-TARO	92	qtl_interval	region_level_only	Q-TARO source coordinates; treated as IRGSP-1.0-compatible but coordinate_build_uncertain	NA	Pi-hy	development_evidence_candidate	Q-TARO interval is region-level weak localization reference only
