file_id	local_path	relative_path	filename	file_size_bytes	file_size_mb	extension	inferred_category	is_compressed	is_archive	checksum_status	notes
RAW_0014	data/raw/metadata/3kRG_download_20240618.html	metadata/3kRG_download_20240618.html	3kRG_download_20240618.html	48520	0.046	.html	accession_metadata	no	no	registered	raw data ignored by git
RAW_0015	data/raw/metadata/3kRG_download_20260223.html	metadata/3kRG_download_20260223.html	3kRG_download_20260223.html	50092	0.048	.html	accession_metadata	no	no	registered	raw data ignored by git
RAW_0016	data/raw/metadata/MANIFEST_original.txt	metadata/MANIFEST_original.txt	MANIFEST_original.txt	2821381	2.691	.txt	accession_metadata	no	no	registered	raw data ignored by git
RAW_0017	data/raw/metadata/Qmatrix-k9-3kRG.csv	metadata/Qmatrix-k9-3kRG.csv	Qmatrix-k9-3kRG.csv	149762	0.143	.csv	accession_metadata	no	no	registered	raw data ignored by git
RAW_0018	data/raw/metadata/README-1st-3kRG-Permissive-License.txt	metadata/README-1st-3kRG-Permissive-License.txt	README-1st-3kRG-Permissive-License.txt	442	0.000	.txt	metadata	no	no	registered	raw data ignored by git
RAW_0019	data/raw/metadata/README-rice-reference-genomes-used.txt	metadata/README-rice-reference-genomes-used.txt	README-rice-reference-genomes-used.txt	1108	0.001	.txt	reference	no	no	registered	raw data ignored by git
RAW_0020	data/raw/metadata/orig~3kRG_download.html	metadata/orig~3kRG_download.html	orig~3kRG_download.html	14642	0.014	.html	accession_metadata	no	no	registered	raw data ignored by git
RAW_0021	data/raw/metadata/rvp_manifest_2.htm	metadata/rvp_manifest_2.htm	rvp_manifest_2.htm	262883	0.251	.htm	accession_metadata	no	no	registered	raw data ignored by git
RAW_0022	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	reference/GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	GCF_001433935.1_IRGSP-1.0_genomic.fna.gz	118932090	113.422	.fna.gz	reference	yes	no	registered	raw data ignored by git
RAW_0023	data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	10328864	9.850	.gff.gz	reference	yes	no	registered	raw data ignored by git
RAW_0024	data/raw/traits/3kRG_PhenotypeData_v20170411.xlsx	traits/3kRG_PhenotypeData_v20170411.xlsx	3kRG_PhenotypeData_v20170411.xlsx	1135836	1.083	.xlsx	trait_table	no	no	registered	raw data ignored by git
RAW_0025	data/raw/variants/indel/2pt3mio_3krg-indel-README.txt	variants/indel/2pt3mio_3krg-indel-README.txt	2pt3mio_3krg-indel-README.txt	159	0.000	.txt	indel_genotype	no	no	registered	raw data ignored by git
RAW_0026	data/raw/variants/indel/3krg-indel-README.txt	variants/indel/3krg-indel-README.txt	3krg-indel-README.txt	159	0.000	.txt	indel_genotype	no	no	registered	raw data ignored by git
RAW_0027	data/raw/variants/indel/Nipponbare_indel.bed.gz	variants/indel/Nipponbare_indel.bed.gz	Nipponbare_indel.bed.gz	229492375	218.861	.bed.gz	indel_genotype	yes	no	registered	raw data ignored by git
RAW_0028	data/raw/variants/indel/Nipponbare_indel.bim.gz	variants/indel/Nipponbare_indel.bim.gz	Nipponbare_indel.bim.gz	21295453	20.309	.bim.gz	indel_genotype	yes	no	registered	raw data ignored by git
RAW_0029	data/raw/variants/indel/Nipponbare_indel.fam.gz	variants/indel/Nipponbare_indel.fam.gz	Nipponbare_indel.fam.gz	16755	0.016	.fam.gz	indel_genotype	yes	no	registered	raw data ignored by git
RAW_0030	data/raw/variants/snp/27m-snpEff-dstinct-GeneID.txt.gz	variants/snp/27m-snpEff-dstinct-GeneID.txt.gz	27m-snpEff-dstinct-GeneID.txt.gz	63409175	60.472	.txt.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0031	data/raw/variants/snp/3K-HDRA-snp-comm-miss5pc.txt.gz	variants/snp/3K-HDRA-snp-comm-miss5pc.txt.gz	3K-HDRA-snp-comm-miss5pc.txt.gz	598336	0.571	.txt.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0032	data/raw/variants/snp/3K_coreSNP-v2.1.plink.tar.gz	variants/snp/3K_coreSNP-v2.1.plink.tar.gz	3K_coreSNP-v2.1.plink.tar.gz	485787981	463.284	.tar.gz	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0033	data/raw/variants/snp/3k-core-v7-chr1.zip	variants/snp/3k-core-v7-chr1.zip	3k-core-v7-chr1.zip	59071141	56.335	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0034	data/raw/variants/snp/3k-core-v7-chr10.zip	variants/snp/3k-core-v7-chr10.zip	3k-core-v7-chr10.zip	33041384	31.511	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0035	data/raw/variants/snp/3k-core-v7-chr11.zip	variants/snp/3k-core-v7-chr11.zip	3k-core-v7-chr11.zip	65745039	62.699	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0036	data/raw/variants/snp/3k-core-v7-chr12.zip	variants/snp/3k-core-v7-chr12.zip	3k-core-v7-chr12.zip	44034793	41.995	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0037	data/raw/variants/snp/3k-core-v7-chr2.zip	variants/snp/3k-core-v7-chr2.zip	3k-core-v7-chr2.zip	55042722	52.493	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0038	data/raw/variants/snp/3k-core-v7-chr3.zip	variants/snp/3k-core-v7-chr3.zip	3k-core-v7-chr3.zip	41723187	39.790	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0039	data/raw/variants/snp/3k-core-v7-chr4.zip	variants/snp/3k-core-v7-chr4.zip	3k-core-v7-chr4.zip	58818350	56.094	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0040	data/raw/variants/snp/3k-core-v7-chr5.zip	variants/snp/3k-core-v7-chr5.zip	3k-core-v7-chr5.zip	39129418	37.317	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0041	data/raw/variants/snp/3k-core-v7-chr6.zip	variants/snp/3k-core-v7-chr6.zip	3k-core-v7-chr6.zip	41780589	39.845	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0042	data/raw/variants/snp/3k-core-v7-chr7.zip	variants/snp/3k-core-v7-chr7.zip	3k-core-v7-chr7.zip	39750044	37.909	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0043	data/raw/variants/snp/3k-core-v7-chr8.zip	variants/snp/3k-core-v7-chr8.zip	3k-core-v7-chr8.zip	50671238	48.324	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0044	data/raw/variants/snp/3k-core-v7-chr9.zip	variants/snp/3k-core-v7-chr9.zip	3k-core-v7-chr9.zip	33121770	31.587	.zip	snp_genotype	yes	yes	registered	raw data ignored by git
RAW_0045	data/raw/variants/snp/3kRG-newPrunedSNPset.txt	variants/snp/3kRG-newPrunedSNPset.txt	3kRG-newPrunedSNPset.txt	721	0.001	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0046	data/raw/variants/snp/990k_3krg-snp-README.txt	variants/snp/990k_3krg-snp-README.txt	990k_3krg-snp-README.txt	370	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0047	data/raw/variants/snp/Filt_3krg-snp-README.txt	variants/snp/Filt_3krg-snp-README.txt	Filt_3krg-snp-README.txt	426	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0048	data/raw/variants/snp/NB-snp.frqx.gz	variants/snp/NB-snp.frqx.gz	NB-snp.frqx.gz	271533001	258.954	.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0049	data/raw/variants/snp/NB_bialSNP_pseudo.vcf.gz	variants/snp/NB_bialSNP_pseudo.vcf.gz	NB_bialSNP_pseudo.vcf.gz	190651130	181.819	.vcf.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0050	data/raw/variants/snp/NB_bialSNP_pseudo.vcf.gz.tbi	variants/snp/NB_bialSNP_pseudo.vcf.gz.tbi	NB_bialSNP_pseudo.vcf.gz.tbi	273432	0.261	.tbi	snp_genotype	no	no	registered	raw data ignored by git
RAW_0051	data/raw/variants/snp/NB_bialSNP_pseudo_canonical_ALL.vcf.gz	variants/snp/NB_bialSNP_pseudo_canonical_ALL.vcf.gz	NB_bialSNP_pseudo_canonical_ALL.vcf.gz	643561279	613.748	.vcf.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0052	data/raw/variants/snp/README-3kRG-SNP-v1-1.txt	variants/snp/README-3kRG-SNP-v1-1.txt	README-3kRG-SNP-v1-1.txt	153	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0053	data/raw/variants/snp/README-3kRG-SNPs-Permissive-License.txt	variants/snp/README-3kRG-SNPs-Permissive-License.txt	README-3kRG-SNPs-Permissive-License.txt	408	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0054	data/raw/variants/snp/README-3kRG-full-SNP-v1.txt	variants/snp/README-3kRG-full-SNP-v1.txt	README-3kRG-full-SNP-v1.txt	133	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0055	data/raw/variants/snp/README-snp_pipeline.txt	variants/snp/README-snp_pipeline.txt	README-snp_pipeline.txt	2785	0.003	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0056	data/raw/variants/snp/Snpseek_subsets.html	variants/snp/Snpseek_subsets.html	Snpseek_subsets.html	14666	0.014	.html	snp_genotype	no	no	registered	raw data ignored by git
RAW_0057	data/raw/variants/snp/core_v0.7.bed.gz	variants/snp/core_v0.7.bed.gz	core_v0.7.bed.gz	117476185	112.034	.bed.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0058	data/raw/variants/snp/core_v0.7.bim.gz	variants/snp/core_v0.7.bim.gz	core_v0.7.bim.gz	3171530	3.025	.bim.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0059	data/raw/variants/snp/core_v0.7.fam.gz	variants/snp/core_v0.7.fam.gz	core_v0.7.fam.gz	16782	0.016	.fam.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0060	data/raw/variants/snp/index-2017-0321-perChrCoreSnps.html	variants/snp/index-2017-0321-perChrCoreSnps.html	index-2017-0321-perChrCoreSnps.html	11059	0.011	.html	snp_genotype	no	no	registered	raw data ignored by git
RAW_0061	data/raw/variants/snp/pca_pruned_v2.1.eigenvec.var.gz	variants/snp/pca_pruned_v2.1.eigenvec.var.gz	pca_pruned_v2.1.eigenvec.var.gz	51393517	49.013	.gz	snp_genotype	yes	no	registered	raw data ignored by git
RAW_0062	data/raw/variants/snp/readme_core_v0.7.txt	variants/snp/readme_core_v0.7.txt	readme_core_v0.7.txt	266	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0063	data/raw/variants/snp/readme_pruned-v2.1.txt	variants/snp/readme_pruned-v2.1.txt	readme_pruned-v2.1.txt	377	0.000	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0064	data/raw/variants/snp/result.log.txt	variants/snp/result.log.txt	result.log.txt	555	0.001	.txt	snp_genotype	no	no	registered	raw data ignored by git
RAW_0065	data/raw/variants/snp/snpseek_down_20260105.htm	variants/snp/snpseek_down_20260105.htm	snpseek_down_20260105.htm	3088	0.003	.htm	snp_genotype	no	no	registered	raw data ignored by git
