source_file	seqid	n_features	n_gene	n_mRNA	n_exon	n_CDS	notes
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029263.1	42676	2283	2874	21628	14880	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS,transcript,tRNA,pseudogene,snRNA,snoRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029264.1	36837	1886	2305	19305	12415	feature_types=features,region,gene,rRNA,exon,pseudogene,transcript,mRNA,CDS,lnc_RNA,tRNA,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029265.1	33339	1877	2160	17060	11294	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA,pseudogene,tRNA,snoRNA,transcript,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029266.1	41681	2367	2751	21077	14119	feature_types=features,region,gene,mRNA,exon,CDS,transcript,pseudogene,lnc_RNA,tRNA,snoRNA,snRNA,rRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NC_029267.1	38931	1986	2533	20021	13315	feature_types=features,region,gene,mRNA,exon,CDS,transcript,pseudogene,lnc_RNA,tRNA,snoRNA,snRNA,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379186.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379187.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379188.1	18	2	2	10	2	feature_types=features,region,pseudogene,exon,gene,mRNA,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379189.1	40	2	2	17	15	feature_types=features,region,gene,mRNA,exon,CDS,pseudogene,transcript
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379190.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379191.1	10	2	1	4	1	feature_types=features,region,gene,mRNA,exon,CDS,lnc_RNA
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379192.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379193.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379194.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379195.1	9	1	0	5	0	feature_types=features,region,gene,lnc_RNA,exon,pseudogene
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379196.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379197.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379198.1	45	3	4	23	14	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379199.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379200.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379201.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379202.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379203.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379204.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379205.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379206.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379207.1	83	2	3	41	36	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379208.1	5	1	1	1	1	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379209.1	13	3	1	5	1	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS,snoRNA
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379210.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379211.1	45	1	3	22	18	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379212.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379213.1	23	2	1	11	7	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379214.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379215.1	28	3	1	15	5	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379216.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379217.1	53	2	2	17	17	feature_types=features,region,gene,mRNA,exon,CDS,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379218.1	6	1	0	3	0	feature_types=features,region,gene,lnc_RNA,exon
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379219.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379220.1	8	1	1	3	2	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379221.1	9	1	1	3	3	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379222.1	5	1	0	2	0	feature_types=features,region,gene,lnc_RNA,exon
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379223.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379224.1	11	1	1	4	4	feature_types=features,region,gene,mRNA,exon,CDS
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379225.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379226.1	1	0	0	0	0	feature_types=features,region
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379227.1	23	2	1	9	6	feature_types=features,region,gene,lnc_RNA,exon,mRNA,CDS,cDNA_match
data/raw/reference/GCF_001433935.1_IRGSP-1.0_genomic.gff.gz	NW_015379228.1	1	0	0	0	0	feature_types=features,region
