assignment_id	split_version	random_seed	split_unit_id	split_block_id	split_unit_type	assigned_split	assigned_role	trait_id	object_type	chrom	start	end	assignment_rule	prototype_locked_not_final	notes
ASN_000000012	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0567	BLK_ACC_ACC_0567	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000013	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0568	BLK_ACC_ACC_0568	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000014	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0569	BLK_ACC_ACC_0569	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000015	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0570	BLK_ACC_ACC_0570	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000016	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0571	BLK_ACC_ACC_0571	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000017	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0572	BLK_ACC_ACC_0572	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000018	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0573	BLK_ACC_ACC_0573	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000019	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0574	BLK_ACC_ACC_0574	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000020	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0575	BLK_ACC_ACC_0575	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000021	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0576	BLK_ACC_ACC_0576	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000022	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0577	BLK_ACC_ACC_0577	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000023	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0578	BLK_ACC_ACC_0578	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000024	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0579	BLK_ACC_ACC_0579	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000025	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0580	BLK_ACC_ACC_0580	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000026	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0581	BLK_ACC_ACC_0581	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000027	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0582	BLK_ACC_ACC_0582	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000028	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0583	BLK_ACC_ACC_0583	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000029	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0584	BLK_ACC_ACC_0584	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000030	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0585	BLK_ACC_ACC_0585	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000031	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0586	BLK_ACC_ACC_0586	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000032	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0587	BLK_ACC_ACC_0587	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000033	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0588	BLK_ACC_ACC_0588	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000034	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0589	BLK_ACC_ACC_0589	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000035	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0590	BLK_ACC_ACC_0590	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000036	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0591	BLK_ACC_ACC_0591	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000037	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0592	BLK_ACC_ACC_0592	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000038	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0593	BLK_ACC_ACC_0593	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000039	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0594	BLK_ACC_ACC_0594	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000040	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0595	BLK_ACC_ACC_0595	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000041	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0596	BLK_ACC_ACC_0596	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000042	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0597	BLK_ACC_ACC_0597	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000043	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0598	BLK_ACC_ACC_0598	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000044	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0599	BLK_ACC_ACC_0599	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000045	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0600	BLK_ACC_ACC_0600	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000046	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0601	BLK_ACC_ACC_0601	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000047	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0602	BLK_ACC_ACC_0602	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000048	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0603	BLK_ACC_ACC_0603	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000049	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0604	BLK_ACC_ACC_0604	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000050	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0605	BLK_ACC_ACC_0605	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000051	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0606	BLK_ACC_ACC_0606	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000052	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0607	BLK_ACC_ACC_0607	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000053	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0608	BLK_ACC_ACC_0608	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000054	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0609	BLK_ACC_ACC_0609	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000055	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0610	BLK_ACC_ACC_0610	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000056	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0611	BLK_ACC_ACC_0611	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000057	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0612	BLK_ACC_ACC_0612	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000058	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0613	BLK_ACC_ACC_0613	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000059	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0614	BLK_ACC_ACC_0614	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000060	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0615	BLK_ACC_ACC_0615	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000061	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0616	BLK_ACC_ACC_0616	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000062	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0617	BLK_ACC_ACC_0617	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000063	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0618	BLK_ACC_ACC_0618	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000064	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0619	BLK_ACC_ACC_0619	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000065	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0620	BLK_ACC_ACC_0620	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000066	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0621	BLK_ACC_ACC_0621	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000067	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0622	BLK_ACC_ACC_0622	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000068	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0623	BLK_ACC_ACC_0623	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000069	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0624	BLK_ACC_ACC_0624	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000070	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0625	BLK_ACC_ACC_0625	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000071	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0626	BLK_ACC_ACC_0626	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000072	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0627	BLK_ACC_ACC_0627	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000073	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0628	BLK_ACC_ACC_0628	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000074	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0629	BLK_ACC_ACC_0629	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000075	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0630	BLK_ACC_ACC_0630	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000076	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0631	BLK_ACC_ACC_0631	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000077	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0632	BLK_ACC_ACC_0632	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000078	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0633	BLK_ACC_ACC_0633	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000079	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0634	BLK_ACC_ACC_0634	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000080	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0635	BLK_ACC_ACC_0635	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000081	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0636	BLK_ACC_ACC_0636	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000082	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0637	BLK_ACC_ACC_0637	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000083	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0638	BLK_ACC_ACC_0638	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000084	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0639	BLK_ACC_ACC_0639	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000085	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0640	BLK_ACC_ACC_0640	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000086	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0641	BLK_ACC_ACC_0641	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000087	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0642	BLK_ACC_ACC_0642	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000088	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0643	BLK_ACC_ACC_0643	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000089	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0644	BLK_ACC_ACC_0644	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000090	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0645	BLK_ACC_ACC_0645	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000091	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0646	BLK_ACC_ACC_0646	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000092	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0647	BLK_ACC_ACC_0647	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000093	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0648	BLK_ACC_ACC_0648	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000094	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0649	BLK_ACC_ACC_0649	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000095	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0650	BLK_ACC_ACC_0650	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000096	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0651	BLK_ACC_ACC_0651	accession	dev	development_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000097	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0652	BLK_ACC_ACC_0652	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000098	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0653	BLK_ACC_ACC_0653	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000099	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0654	BLK_ACC_ACC_0654	accession	test	prototype_locked_evaluation	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
ASN_000000100	frozen_split_v055_chr1_snp_prototype_v1	5508	SU_ACC_ACC_0655	BLK_ACC_ACC_0655	accession	train	training_candidate	NA	accession	NA	NA	NA	stratified deterministic hash by broad_subgroup and accession_id; accession_id index only	true	prototype split only; not final full benchmark split
