diagnostic_id	split_version	diagnostic_type	assigned_split	trait_id	object_type	n_units	n_blocks	n_accessions	n_evidence_objects	n_decoy_pairs	subgroup_distribution	PC_balance_summary	trait_distribution	evidence_source_distribution	object_type_distribution	position_distribution	gene_density_summary	variant_density_summary	notes
SBD_00000011	frozen_split_v055_chr1_snp_prototype_v1	trait_trait	diagnostic_only	data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__pex_repro;data_lt_2007__lsen;data_lt_2007__pth;data_lt_2007__cuan_repro;data_lt_2007__cudi_code_repro	trait	9	9	0	0	0	NA	NA	data_lt_2007__spkf:1;data_lt_2007__fla_repro:1;data_lt_2007__cult_code_repro:1;data_lt_2007__llt_code:1;data_lt_2007__pex_repro:1;data_lt_2007__lsen:1;data_lt_2007__pth:1;data_lt_2007__cuan_repro:1;data_lt_2007__cudi_code_repro:1	NA	trait:9	NA	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000012	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	excluded_broader_evidence	NA	gene	73336	73336	0	73336	0	NA	NA	NA	funRiceGenes geneKeyword:41522;Oryzabase GeneListEn:21037;RAP-DB JSON:6210;funRiceGenes geneInfo:4567	gene:73336	min=2705;median=20294141;max=43244805	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000013	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_qtl_interval	excluded_broader_evidence	NA	qtl_interval	912	912	0	912	0	NA	NA	NA	Q-TARO:912	qtl_interval:912	min=198795;median=20244072;max=44258287	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000014	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	excluded_manual_review	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__lsen;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cult_code_repro;data_lt_2007__lsen;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code;data_lt_2007__lsen;data_lt_2007__spkf;data_lt_2007__cuan_repro;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__lsen;data_lt_2007__spkf;data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__lsen;data_lt_2007__fla_repro;data_lt_2007__lsen;data_lt_2007__cult_code_repro;data_lt_2007__pex_repro;data_lt_2007__llt_code;data_lt_2007__spkf;data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__cult_code_repro;data_lt_2007__pth;data_lt_2007__fla_repro;data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__pex_repro;data_lt_2007__spkf;...[truncated_n=5]	gene	2603	2603	0	2603	0	NA	NA	data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code;data_lt_2007__lsen:1200;data_lt_2007__pex_repro;data_lt_2007__pth:534;data_lt_2007__cult_code_repro;data_lt_2007__spkf:251;data_lt_2007__cuan_repro;data_lt_2007__cudi_code_repro;data_lt_2007__cult_code_repro:86;data_lt_2007__cuan_repro;data_lt_2007__fla_repro:50;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro:41;data_lt_2007__cult_code_repro;data_lt_2007__lsen:38;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__spkf:30;data_lt_2007__cult_code_repro;data_lt_2007__lsen;data_lt_2007__spkf:29;data_lt_2007__cult_code_repro;data_lt_2007__llt_code:24;data_lt_2007__lsen;data_lt_2007__spkf:23;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__spkf:19	funRiceGenes geneKeyword:1862;RAP-DB JSON:741	gene:2603	min=26939;median=20509095;max=43116607	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000015	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_qtl_interval	excluded_manual_review	data_lt_2007__fla_repro;data_lt_2007__llt_code;data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__pex_repro;data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code	qtl_interval	8	8	0	8	0	NA	NA	data_lt_2007__cuan_repro;data_lt_2007__fla_repro:3;data_lt_2007__fla_repro;data_lt_2007__llt_code:2;data_lt_2007__pex_repro:1;data_lt_2007__cuan_repro;data_lt_2007__fla_repro;data_lt_2007__llt_code:1	Q-TARO:8	qtl_interval:8	min=11180647;median=30340959;max=42916744	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000016	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	excluded_no_exact_trait_mapping	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__fla_repro;data_lt_2007__lsen;data_lt_2007__cuan_repro;data_lt_2007__pth;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	gene	4073	4073	0	4073	0	NA	NA	data_lt_2007__spkf:2387;data_lt_2007__cult_code_repro:757;data_lt_2007__cudi_code_repro:439;data_lt_2007__lsen:430;data_lt_2007__fla_repro:45;data_lt_2007__llt_code:10;data_lt_2007__cuan_repro:3;data_lt_2007__pth:2	funRiceGenes geneKeyword:2201;RAP-DB JSON:978;Oryzabase GeneListEn:894	gene:4073	min=26939;median=18970917;max=36301949	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000017	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_qtl_interval	excluded_no_exact_trait_mapping	data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__fla_repro;data_lt_2007__llt_code;data_lt_2007__lsen;data_lt_2007__pth	qtl_interval	85	85	0	85	0	NA	NA	data_lt_2007__spkf:45;data_lt_2007__cult_code_repro:25;data_lt_2007__fla_repro:9;data_lt_2007__llt_code:3;data_lt_2007__pth:2;data_lt_2007__lsen:1	Q-TARO:85	qtl_interval:85	min=309115;median=12776182;max=32982198	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000018	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_gene	prototype_locked	data_lt_2007__lsen;data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__pth;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	370	1	0	0	370	NA	NA	data_lt_2007__spkf:185;data_lt_2007__cudi_code_repro:80;data_lt_2007__cult_code_repro:60;data_lt_2007__lsen:30;data_lt_2007__pth:10;data_lt_2007__fla_repro:5	NA	gene:370	min=30279488;median=32482725;max=34864188	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000019	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_variant	prototype_locked	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code	variant	10255	1	0	0	10255	NA	NA	data_lt_2007__llt_code:6115;data_lt_2007__spkf:4135;data_lt_2007__cult_code_repro:5	NA	variant:10255	min=31205244;median=34515248;max=34999638	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000020	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_window	prototype_locked	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code	window	200	1	0	0	200	NA	NA	data_lt_2007__llt_code:115;data_lt_2007__spkf:75;data_lt_2007__cult_code_repro:10	NA	window:200	min=31200000;median=34475000;max=34950000	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000021	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	prototype_locked	data_lt_2007__lsen;data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__pth;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	74	1	0	74	0	NA	NA	data_lt_2007__spkf:37;data_lt_2007__cudi_code_repro:16;data_lt_2007__cult_code_repro:12;data_lt_2007__lsen:6;data_lt_2007__pth:2;data_lt_2007__fla_repro:1	funRiceGenes geneKeyword:43;RAP-DB JSON:20;Oryzabase GeneListEn:11	gene:74	min=30279488;median=32482725;max=34864188	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000022	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_variant	prototype_locked	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code	variant	2051	1	0	2051	0	NA	NA	data_lt_2007__llt_code:1223;data_lt_2007__spkf:827;data_lt_2007__cult_code_repro:1	Q-TARO:2051	variant:2051	min=31205244;median=34515248;max=34999638	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000023	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_window	prototype_locked	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code	window	40	1	0	40	0	NA	NA	data_lt_2007__llt_code:23;data_lt_2007__spkf:15;data_lt_2007__cult_code_repro:2	Q-TARO:40	window:40	min=31200000;median=34475000;max=34950000	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000024	frozen_split_v055_chr1_snp_prototype_v1	region_window_region	prototype_locked	NA	window_region	400	4	0	0	0	NA	NA	NA	NA	window_region:400	min=5000000;median=17475000;max=29950000	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000025	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_gene	source_disjoint_or_temporal	data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__lsen;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	810	3	0	0	810	NA	NA	data_lt_2007__spkf:440;data_lt_2007__cult_code_repro:205;data_lt_2007__cudi_code_repro:110;data_lt_2007__lsen:40;data_lt_2007__fla_repro:15	NA	gene:810	min=10625241;median=36487690;max=39725077	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000026	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_qtl_interval	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	5	1	0	0	5	NA	NA	data_lt_2007__cult_code_repro:5	NA	qtl_interval:5	min=15853053;median=15853053;max=15853053	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000027	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_variant	source_disjoint_or_temporal	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	variant	43655	1	0	0	43655	NA	NA	data_lt_2007__llt_code:16895;data_lt_2007__spkf:14910;data_lt_2007__cult_code_repro:11815;data_lt_2007__cudi_code_repro:35	NA	variant:43655	min=35000897;median=38107982;max=39999372	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000028	frozen_split_v055_chr1_snp_prototype_v1	decoy_pair_window	source_disjoint_or_temporal	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	window	1305	1	0	0	1305	NA	NA	data_lt_2007__llt_code:500;data_lt_2007__spkf:460;data_lt_2007__cult_code_repro:335;data_lt_2007__cudi_code_repro:10	NA	window:1305	min=35000000;median=37700000;max=39950000	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000029	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_gene	source_disjoint_or_temporal	data_lt_2007__cult_code_repro;data_lt_2007__spkf;data_lt_2007__lsen;data_lt_2007__fla_repro;data_lt_2007__cudi_code_repro	gene	162	3	0	162	0	NA	NA	data_lt_2007__spkf:88;data_lt_2007__cult_code_repro:41;data_lt_2007__cudi_code_repro:22;data_lt_2007__lsen:8;data_lt_2007__fla_repro:3	funRiceGenes geneKeyword:92;RAP-DB JSON:51;Oryzabase GeneListEn:19	gene:162	min=10625241;median=36487690;max=39725077	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000030	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_qtl_interval	source_disjoint_or_temporal	data_lt_2007__cult_code_repro	qtl_interval	1	1	0	1	0	NA	NA	data_lt_2007__cult_code_repro:1	Q-TARO:1	qtl_interval:1	min=15853053;median=15853053;max=15853053	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000031	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_variant	source_disjoint_or_temporal	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	variant	8731	1	0	8731	0	NA	NA	data_lt_2007__llt_code:3379;data_lt_2007__spkf:2982;data_lt_2007__cult_code_repro:2363;data_lt_2007__cudi_code_repro:7	Q-TARO:8731	variant:8731	min=35000897;median=38107982;max=39999372	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000032	frozen_split_v055_chr1_snp_prototype_v1	evidence_object_window	source_disjoint_or_temporal	data_lt_2007__spkf;data_lt_2007__cult_code_repro;data_lt_2007__llt_code;data_lt_2007__cudi_code_repro	window	261	1	0	261	0	NA	NA	data_lt_2007__llt_code:100;data_lt_2007__spkf:92;data_lt_2007__cult_code_repro:67;data_lt_2007__cudi_code_repro:2	Q-TARO:261	window:261	min=35000000;median=37700000;max=39950000	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000033	frozen_split_v055_chr1_snp_prototype_v1	accession_accession	test	NA	accession	326	326	326	0	0	ind3:84;ind2:55;trop1:39;aus:39;ind1A:34;trop2:28;ind1B:19;temp:19;aro:9	PC1_mean=0.001309;PC2_mean=0.003416;PC3_mean=0.001975;PC4_mean=0.000191;PC5_mean=0.001628	NA	NA	accession:326	NA	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000034	frozen_split_v055_chr1_snp_prototype_v1	accession_accession	train	NA	accession	1606	1606	1606	0	0	ind3:465;ind2:265;trop1:221;aus:147;ind1A:140;ind1B:126;temp:102;trop2:77;aro:63	PC1_mean=0.001609;PC2_mean=0.001708;PC3_mean=0.002536;PC4_mean=0.001052;PC5_mean=0.002743	NA	NA	accession:1606	NA	unavailable_in_split_unit_table; see matched_decoy diagnostics	unavailable_in_split_unit_table; see matched_decoy diagnostics	balance diagnostics are prototype checks; not a formal evaluator
SBD_00000035	frozen_split_v055_chr1_snp_prototype_v1	accession_global_balance	train	NA	accession	1606	1606	1606	0	0	ind3:465;ind2:265;trop1:221;aus:147;ind1A:140;ind1B:126;temp:102;trop2:77;aro:63	PC1_mean=0.001609;PC2_mean=0.001708;PC3_mean=0.002536;PC4_mean=0.001052;PC5_mean=0.002743	NA	NA	accession	NA	NA	NA	accession_id is index-only; balance by broad_subgroup and PC summary
SBD_00000036	frozen_split_v055_chr1_snp_prototype_v1	accession_global_balance	dev	NA	accession	336	336	336	0	0	ind3:106;ind2:59;trop1:49;temp:29;ind1B:26;aus:24;ind1A:23;trop2:13;aro:7	PC1_mean=0.001595;PC2_mean=0.000029;PC3_mean=0.001363;PC4_mean=-0.000123;PC5_mean=0.004371	NA	NA	accession	NA	NA	NA	accession_id is index-only; balance by broad_subgroup and PC summary
SBD_00000037	frozen_split_v055_chr1_snp_prototype_v1	accession_global_balance	test	NA	accession	326	326	326	0	0	ind3:84;ind2:55;trop1:39;aus:39;ind1A:34;trop2:28;ind1B:19;temp:19;aro:9	PC1_mean=0.001309;PC2_mean=0.003416;PC3_mean=0.001975;PC4_mean=0.000191;PC5_mean=0.001628	NA	NA	accession	NA	NA	NA	accession_id is index-only; balance by broad_subgroup and PC summary
