task_id	task_name	task_type	object_type	score_level	input_object_table	input_decoy_table	required_score_fields	assigned_split	allowed_splits	metric_family	is_formal_metric	is_dry_run_only	notes	scaffold_version
TASK_0011	enrichment_over_matched_background_qtl_interval_dev	enrichment_over_matched_background	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0012	distance_to_evidence_qtl_interval_dev	distance_to_evidence	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0013	overlap_with_region_qtl_interval_dev	overlap_with_region	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0014	diagnostic_only_qtl_interval_dev	diagnostic_only	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0015	matched_ranking_variant_dev	matched_ranking	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0016	rank_percentile_variant_dev	rank_percentile	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0017	topk_recovery_variant_dev	topk_recovery	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0018	enrichment_over_matched_background_variant_dev	enrichment_over_matched_background	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0019	distance_to_evidence_variant_dev	distance_to_evidence	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0020	overlap_with_region_variant_dev	overlap_with_region	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0021	diagnostic_only_variant_dev	diagnostic_only	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0022	matched_ranking_window_dev	matched_ranking	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0023	rank_percentile_window_dev	rank_percentile	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0024	topk_recovery_window_dev	topk_recovery	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0025	enrichment_over_matched_background_window_dev	enrichment_over_matched_background	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0026	distance_to_evidence_window_dev	distance_to_evidence	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0027	overlap_with_region_window_dev	overlap_with_region	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0028	diagnostic_only_window_dev	diagnostic_only	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	dev	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0029	matched_ranking_gene_prototype_locked	matched_ranking	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0030	rank_percentile_gene_prototype_locked	rank_percentile	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0031	topk_recovery_gene_prototype_locked	topk_recovery	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0032	enrichment_over_matched_background_gene_prototype_locked	enrichment_over_matched_background	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0033	distance_to_evidence_gene_prototype_locked	distance_to_evidence	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0034	overlap_with_region_gene_prototype_locked	overlap_with_region	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0035	diagnostic_only_gene_prototype_locked	diagnostic_only	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0036	matched_ranking_qtl_interval_prototype_locked	matched_ranking	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0037	rank_percentile_qtl_interval_prototype_locked	rank_percentile	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0038	topk_recovery_qtl_interval_prototype_locked	topk_recovery	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0039	enrichment_over_matched_background_qtl_interval_prototype_locked	enrichment_over_matched_background	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0040	distance_to_evidence_qtl_interval_prototype_locked	distance_to_evidence	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0041	overlap_with_region_qtl_interval_prototype_locked	overlap_with_region	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0042	diagnostic_only_qtl_interval_prototype_locked	diagnostic_only	qtl_interval	region	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0043	matched_ranking_variant_prototype_locked	matched_ranking	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0044	rank_percentile_variant_prototype_locked	rank_percentile	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0045	topk_recovery_variant_prototype_locked	topk_recovery	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0046	enrichment_over_matched_background_variant_prototype_locked	enrichment_over_matched_background	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0047	distance_to_evidence_variant_prototype_locked	distance_to_evidence	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0048	overlap_with_region_variant_prototype_locked	overlap_with_region	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0049	diagnostic_only_variant_prototype_locked	diagnostic_only	variant	variant	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0050	matched_ranking_window_prototype_locked	matched_ranking	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0051	rank_percentile_window_prototype_locked	rank_percentile	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0052	topk_recovery_window_prototype_locked	topk_recovery	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	topk_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0053	enrichment_over_matched_background_window_prototype_locked	enrichment_over_matched_background	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	matched_background_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0054	distance_to_evidence_window_prototype_locked	distance_to_evidence	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	distance_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0055	overlap_with_region_window_prototype_locked	overlap_with_region	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	overlap_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0056	diagnostic_only_window_prototype_locked	diagnostic_only	window	window	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	prototype_locked	dev;prototype_locked;source_disjoint_or_temporal	join_and_leakage_diagnostic	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0057	matched_ranking_gene_source_disjoint_or_temporal	matched_ranking	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	source_disjoint_or_temporal	dev;prototype_locked;source_disjoint_or_temporal	matched_background_rank_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
TASK_0058	rank_percentile_gene_source_disjoint_or_temporal	rank_percentile	gene	gene	data/interim/evaluator_scaffold_v055/inputs/evaluator_object_input_table.tsv	data/interim/evaluator_scaffold_v055/inputs/evaluator_decoy_input_table.tsv	score_source;score_version;score_level;trait_id;score;score_direction;split_version	source_disjoint_or_temporal	dev;prototype_locked;source_disjoint_or_temporal	rank_schema_dry_run	false	true	schema-only task manifest; no formal metric is calculated in 09A	evaluator_scaffold_v055_chr1_snp_prototype_v1
