evaluator_decoy_id	evaluator_object_id	object_id	decoy_pair_id	decoy_object_id	trait_id	object_type	assigned_split	decoy_assignment_status	match_rank	match_score	matching_level	relaxation_level	matched_fields	unavailable_fields	notes	scaffold_version
EDEC_000000033	EOBJ_00000007	OBJ_GENE_00000052	DP_000000033	GENE_BG_Os01g0132100	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.950094	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000034	EOBJ_00000007	OBJ_GENE_00000052	DP_000000034	GENE_BG_Os01g0130000	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.935562	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000035	EOBJ_00000007	OBJ_GENE_00000052	DP_000000035	GENE_BG_Os01g0131900	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.915506	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000036	EOBJ_00000008	OBJ_GENE_00000062	DP_000000036	GENE_BG_Os01g0140400	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	1	0.952331	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000037	EOBJ_00000008	OBJ_GENE_00000062	DP_000000037	GENE_BG_Os01g0140700	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	2	0.947393	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000038	EOBJ_00000008	OBJ_GENE_00000062	DP_000000038	GENE_BG_Os01g0139000	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	3	0.94518	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000039	EOBJ_00000008	OBJ_GENE_00000062	DP_000000039	GENE_BG_Os01g0140500	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	4	0.913893	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000040	EOBJ_00000008	OBJ_GENE_00000062	DP_000000040	GENE_BG_Os01g0138900	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	5	0.906241	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000041	EOBJ_00000009	OBJ_GENE_00000067	DP_000000041	GENE_BG_Os01g0142800	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.996146	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000042	EOBJ_00000009	OBJ_GENE_00000067	DP_000000042	GENE_BG_Os01g0142500	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.952686	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000043	EOBJ_00000009	OBJ_GENE_00000067	DP_000000043	GENE_BG_Os01g0141700	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.948383	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000044	EOBJ_00000009	OBJ_GENE_00000067	DP_000000044	GENE_BG_Os01g0141100	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.943946	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000045	EOBJ_00000009	OBJ_GENE_00000067	DP_000000045	GENE_BG_Os01g0141600	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.91072	L1_strict_matched	L1_strict_matched	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000046	EOBJ_00000010	OBJ_GENE_00000070	DP_000000046	GENE_BG_Os01g0147900	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	1	0.889545	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000047	EOBJ_00000010	OBJ_GENE_00000070	DP_000000047	GENE_BG_Os01g0149350	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	2	0.874944	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000048	EOBJ_00000010	OBJ_GENE_00000070	DP_000000048	GENE_BG_Os01g0147300	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	3	0.812245	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000049	EOBJ_00000010	OBJ_GENE_00000070	DP_000000049	GENE_BG_LOC_Os01g05420	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	4	0.779112	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000050	EOBJ_00000010	OBJ_GENE_00000070	DP_000000050	GENE_BG_LOC4325206	data_lt_2007__cult_code_repro	gene	dev	follows_evidence_split	5	0.779106	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000051	EOBJ_00000011	OBJ_GENE_00000100	DP_000000051	GENE_BG_Os01g0164600	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.857604	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000052	EOBJ_00000011	OBJ_GENE_00000100	DP_000000052	GENE_BG_Os01g0165200	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.857354	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000053	EOBJ_00000011	OBJ_GENE_00000100	DP_000000053	GENE_BG_Os01g0164700	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.800929	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000054	EOBJ_00000011	OBJ_GENE_00000100	DP_000000054	GENE_BG_Os01g0164500	data_lt_2007__spkf	gene	dev	follows_evidence_split	4	0.799089	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000055	EOBJ_00000011	OBJ_GENE_00000100	DP_000000055	GENE_BG_Os01g0164300	data_lt_2007__spkf	gene	dev	follows_evidence_split	5	0.797199	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000056	EOBJ_00000012	OBJ_GENE_00000103	DP_000000056	GENE_BG_Os01g0169400	data_lt_2007__spkf	gene	dev	follows_evidence_split	1	0.81953	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000057	EOBJ_00000012	OBJ_GENE_00000103	DP_000000057	GENE_BG_Os01g0168100	data_lt_2007__spkf	gene	dev	follows_evidence_split	2	0.797447	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
EDEC_000000058	EOBJ_00000012	OBJ_GENE_00000103	DP_000000058	GENE_BG_Os01g0168200	data_lt_2007__spkf	gene	dev	follows_evidence_split	3	0.795367	L3_relaxed_annotation_detectability	L3_relaxed_annotation_detectability	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	matched background only; decoy is not a true negative and is not independently split	evaluator_scaffold_v055_chr1_snp_prototype_v1
