object_id	object_type	trait_id	trait_name	evidence_id	evidence_source	evidence_source_type	evidence_level	support_level	allowed_usage	chrom	start	end	object_length	gene_id	gene_symbol	variant_id	window_id	source_database	source_record_id	mapping_status	coordinate_confidence	exact_frozen_trait_mapping	manual_review_required	in_main_evaluation_candidate_pool	exclusion_reason	notes	pipeline_version
OBJ_GENE_00000011	gene	NA	TO:0000172 - jasmonic acid sensitivity;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity;TO:0006001 - salt tolerance	KGE_00000011	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	226897	229229	2333	Os01g0104400	EULS3, OsEULS3, OrysaEULS3, r40c1, Osr40c1	NA	NA	RAP-DB_curated_genes	Os01g0104400	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000012	gene	NA	TO:0002653 - endosperm storage protein content;TO:0000598 - protein content;TO:0000484 - seed shape;TO:0000696 - starch content	KGE_00000012	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	241680	243440	1761	Os01g0104500	NAC20, OsNAC20, ONAC020, ONAC20, DLN1, OsDLN1	NA	NA	RAP-DB_curated_genes	Os01g0104500	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000013	gene	NA	TO:0000495 - chlorophyll content;TO:0000290 - flavonoid content;TO:0000064 - embryo related trait;TO:0000399 - grain thickness;TO:0000397 - grain size;TO:0000707 - pericarp color;TO:0000590 - grain weight;TO:0000269 - 100-seed weight;TO:0000734 - grain length;TO:0000653 - seed development trait;TO:0000075 - light sensitivity	KGE_00000013	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	248828	256872	8045	Os01g0104600	DET1, OsDET1	NA	NA	RAP-DB_curated_genes	Os01g0104600	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000014	gene	data_lt_2007__cult_code_repro;data_lt_2007__fla_repro	CULT_CODE_REPRO;FLA_REPRO	KGE_00000014	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	309520	313170	3651	Os01g0105900	DNL4, DNL-4, OsDNL-4, OsDNL4	NA	NA	RAP-DB_curated_genes	Os01g0105900	mapped_high_confidence	high	false	true	false	manual_review_required	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000015	gene	NA	TO:0002657 - oxidative stress;TO:0000074 - blast disease;TO:0000615 - abscisic acid sensitivity	KGE_00000015	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	327128	328450	1323	Os01g0106400	IRL, OsIRL	NA	NA	RAP-DB_curated_genes	Os01g0106400	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000016	gene	data_lt_2007__spkf	SPKF	KGE_00000016	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	335708	371194	35487	Os01g0106700	ATM, OsATM	NA	NA	RAP-DB_curated_genes	Os01g0106700	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000017	gene	NA	TO:0000160 - UV light sensitivity;TO:0000496 - carotenoid content;TO:0000495 - chlorophyll content;TO:0000075 - light sensitivity	KGE_00000017	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	374728	380713	5986	Os01g0106900	DXR, OsDXR, OsIspC, IspC	NA	NA	RAP-DB_curated_genes	Os01g0106900	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000018	gene	NA	TO:0000605 - hydrogen peroxide content;TO:0000074 - blast disease;TO:0000172 - jasmonic acid sensitivity	KGE_00000018	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	478488	481165	2678	Os01g0108600	HLH46, OsHLH46, OsbHLH	NA	NA	RAP-DB_curated_genes	Os01g0108600	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000019	gene	NA	TO:0000326 - leaf color;TO:0002715 - chloroplast development trait;TO:0000293 - chlorophyll-a content;TO:0000295 - chlorophyll-b content;TO:0000396 - grain yield	KGE_00000019	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	498454	506264	7811	Os01g0109300	WFSL1, ST3, OsSAMHD1	NA	NA	RAP-DB_curated_genes	Os01g0109300	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000020	gene	NA	unspecified_trait	KGE_00000020	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	536973	538644	1672	Os01g0110050	PHO1;1 CIS-NAT, OsPHO1;1 cis-NAT	NA	NA	RAP-DB_curated_genes	Os01g0110050	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000021	gene	NA	TO:0000102 - phosphorus sensitivity	KGE_00000021	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	537710	543354	5645	Os01g0110100	PHO1;1, OsPHO1;1	NA	NA	RAP-DB_curated_genes	Os01g0110100	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000022	gene	NA	unspecified_trait	KGE_00000022	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	562088	572092	10005	Os01g0110700	PPPCB, Osppc-b, ppc-b, OsSTA1, STA1, BTPC, OsBTPC	NA	NA	RAP-DB_curated_genes	Os01g0110700	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000023	gene	NA	unspecified_trait	KGE_00000023	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	585963	586445	483	Os01g0111000	PMEI1, OsPMEI1, PMEI-1	NA	NA	RAP-DB_curated_genes	Os01g0111000	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000024	gene	NA	TO:0000261 - insect damage resistance	KGE_00000024	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	588917	593714	4798	Os01g0111200	OsLSm14b	NA	NA	RAP-DB_curated_genes	Os01g0111200	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000025	gene	NA	TO:0002665 - root hair length	KGE_00000025	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	603643	605643	2001	Os01g0111500	OsbHLH125, bHLH125, OsRSL1, RSL1	NA	NA	RAP-DB_curated_genes	Os01g0111500	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000026	gene	NA	TO:0000615 - abscisic acid sensitivity;TO:0002667 - abscisic acid content;TO:0000430 - germination rate;TO:0000253 - seed dormancy;TO:0006001 - salt tolerance;TO:0000619 - vivipary;TO:0000075 - light sensitivity;TO:0000653 - seed development trait	KGE_00000026	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	612564	615631	3068	Os01g0111600	MFT2, OsMFT2, OsMFT	NA	NA	RAP-DB_curated_genes	Os01g0111600	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000027	gene	NA	TO:0000315 - bacterial disease resistance	KGE_00000027	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	728968	731172	2205	Os01g0113350	MAK1, OsMAK1	NA	NA	RAP-DB_curated_genes	Os01g0113350	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000028	gene	NA	TO:0000315 - bacterial disease resistance	KGE_00000028	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	728926	731089	2164	Os01g0113350	MAK1, OsMAK1	NA	NA	RAP-DB_curated_genes	Os01g0113350	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000029	gene	NA	unspecified_trait	KGE_00000029	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	851835	854599	2765	Os01g0115700	RLK19, OsRLK19	NA	NA	RAP-DB_curated_genes	Os01g0115700	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000030	gene	NA	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	KGE_00000030	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	857790	860739	2950	Os01g0115750	8TAK2, RLK20, Os8Tak2, YK21, OsRLCK12, RLCK12, OsRLK20	NA	NA	RAP-DB_curated_genes	Os01g0115750	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000031	gene	NA	TO:0000175 - bacterial blight disease resistance;TO:0000063 - mimic response	KGE_00000031	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	862579	865249	2671	Os01g0115800	8TAK1, RLK21, Os8Tak1, OsRLK21	NA	NA	RAP-DB_curated_genes	Os01g0115800	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000032	gene	NA	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	KGE_00000032	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	865792	869367	3576	Os01g0115900	RLK22, OsRLK22	NA	NA	RAP-DB_curated_genes	Os01g0115900	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000033	gene	data_lt_2007__lsen	LSEN	KGE_00000033	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	929884	934458	4575	Os01g0116600	SPL33, LMM5.1, SPL33/LMM5.1, OsSPL33, OsLMM5.1, OsHBS1, HBS1	NA	NA	RAP-DB_curated_genes	Os01g0116600	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000034	gene	data_lt_2007__cult_code_repro;data_lt_2007__spkf	CULT_CODE_REPRO;SPKF	KGE_00000034	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1047901	1053166	5266	Os01g0118300	SUI1, OsSUI1, OsPSS-1, PSS-1, OsPSS1, PSS1	NA	NA	RAP-DB_curated_genes	Os01g0118300	mapped_high_confidence	high	false	true	false	manual_review_required	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000035	gene	NA	TO:0000731 - lignin content;TO:0000074 - blast disease;TO:0000733 - lignin biosynthesis trait	KGE_00000035	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1168647	1171130	2484	Os01g0120700	HRC, OsHRC	NA	NA	RAP-DB_curated_genes	Os01g0120700	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000036	gene	NA	TO:0000224 - iron sensitivity;TO:0000021 - copper sensitivity;TO:0000074 - blast disease	KGE_00000036	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1347665	1348723	1059	Os01g0124200	RBBI3-1, APIP4, OsBBTI4, BBTI4, IBP1.1, RBBTI4, OsAPIP4	NA	NA	RAP-DB_curated_genes	Os01g0124200	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000037	gene	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	KGE_00000037	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1353705	1354767	1063	Os01g0124401	RBBI3-3, OsBBPI, BBPI, OsBBTI5, BBTI5, IBP1.2, OsIBP1.2	NA	NA	RAP-DB_curated_genes	Os01g0124401	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000038	gene	NA	unspecified_trait	KGE_00000038	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1356413	1361286	4874	Os01g0124500	MRLK1, OsMRLK1	NA	NA	RAP-DB_curated_genes	Os01g0124500	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000039	gene	NA	unspecified_trait	KGE_00000039	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1363710	1364282	573	Os01g0124600	RBBI2-4, OsRBBI2-4	NA	NA	RAP-DB_curated_genes	Os01g0124600	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000040	gene	NA	unspecified_trait	KGE_00000040	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1365586	1366432	847	Os01g0124650	RBBI2-3	NA	NA	RAP-DB_curated_genes	Os01g0124650	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000041	gene	NA	unspecified_trait	KGE_00000041	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1413839	1418982	5144	Os01g0125800	AIP1, OsAIP1, OsWD40-1, OsWD40, WD40-1, WD40, OsDWD68, DWD68	NA	NA	RAP-DB_curated_genes	Os01g0125800	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000042	gene	NA	unspecified_trait	KGE_00000042	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1433996	1436809	2814	Os01g0126100	LPR1, OsLPR1	NA	NA	RAP-DB_curated_genes	Os01g0126100	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000043	gene	NA	unspecified_trait	KGE_00000043	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1437163	1445599	8437	Os01g0126200	LPR2, OsLPR2	NA	NA	RAP-DB_curated_genes	Os01g0126200	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000044	gene	NA	unspecified_trait	KGE_00000044	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1446849	1450473	3625	Os01g0126600	OsFDML2, FDML2	NA	NA	RAP-DB_curated_genes	Os01g0126600	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000045	gene	NA	unspecified_trait	KGE_00000045	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1486400	1488897	2498	Os01g0126900	LPR4, OsLPR4	NA	NA	RAP-DB_curated_genes	Os01g0126900	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000046	gene	data_lt_2007__cult_code_repro;data_lt_2007__spkf	CULT_CODE_REPRO;SPKF	KGE_00000046	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1490494	1492684	2191	Os01g0127000	LPR3, OsLPR3	NA	NA	RAP-DB_curated_genes	Os01g0127000	mapped_high_confidence	high	false	true	false	manual_review_required	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000047	gene	NA	TO:0000507 - osmotic adjustment capacity;TO:0006001 - salt tolerance;TO:0000095 - osmotic response sensitivity;TO:0000325 - soluble protein content;TO:0000371 - yield trait;TO:0002657 - oxidative stress;TO:0001016 - relative chlorophyll content;TO:0000465 - mineral and ion content related trait;TO:0000656 - root development trait;TO:0000608 - sodium content;TO:0000525 - sodium to potassium content ratio;TO:0000357 - growth and development trait;TO:0006002 - proline content	KGE_00000047	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1497241	1500606	3366	Os01g0127200	LPR5, OsLPR5, OsSTA2, STA2	NA	NA	RAP-DB_curated_genes	Os01g0127200	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000048	gene	data_lt_2007__spkf	SPKF	KGE_00000048	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1513138	1514432	1295	Os01g0127500	TKPR2, OsTKPR2	NA	NA	RAP-DB_curated_genes	Os01g0127500	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000049	gene	NA	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance	KGE_00000049	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1549241	1551011	1771	Os01g0128000	2R_MYB1, MYB1, Os2R_MYB1, MYB2-1, OsMYB2-1	NA	NA	RAP-DB_curated_genes	Os01g0128000	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000050	gene	NA	TO:0002667 - abscisic acid content;TO:0000173 - ethylene sensitivity;TO:0000276 - drought tolerance	KGE_00000050	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1569644	1570940	1297	Os01g0128300	ABA4, MHZ4, OsMHZ4, MHZ4/OsABA4, OsABA4	NA	NA	RAP-DB_curated_genes	Os01g0128300	mapped_high_confidence	high	false	false	false	broader_evidence_pool	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000051	gene	data_lt_2007__spkf	SPKF	KGE_00000051	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1625159	1626574	1416	Os01g0129200	SL1, sl1, sl1(t), stl1, opb, OPB, OPB1, ps, PS, DLN2, OsDLN2, OsJAG, JAG, OsJAG.1, OsJAG.2, ZOS1-02, OsZOS1-02	NA	NA	RAP-DB_curated_genes	Os01g0129200	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000052	gene	data_lt_2007__spkf	SPKF	KGE_00000052	RAP-DB JSON	known_gene_database	gene_level	high_confidence	development_evidence_candidate	1	1746418	1748443	2026	Os01g0131600	ERF108, RD2, OsERF#108, OsAP2, OsERF108, AP2/EREBP#001, AP2/EREBP1, OsCRF1, CRF1, ESR1, OsESR1	NA	NA	RAP-DB_curated_genes	Os01g0131600	mapped_high_confidence	high	true	false	true	NA	external gene-level evidence object; evaluation/explanation only; not causal ground truth and not a training label	matched_decoy_v055_chr1_snp_prototype_v1
