object_id	object_type	chrom	start	end	missingness_rate	callability_proxy	chr1_snp_coverage	window_coverage	variant_coverage	mappability_proxy	low_complexity_or_repeat_proxy	database_detectability_proxy	detectability_score	detectability_fields_available	notes	pipeline_version
OBJ_GENE_00000011	gene	1	226897	229229	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000012	gene	1	241680	243440	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000013	gene	1	248828	256872	unavailable	chr1_snp_variant_coverage	0	3	0	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000014	gene	1	309520	313170	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000015	gene	1	327128	328450	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000016	gene	1	335708	371194	unavailable	chr1_snp_variant_coverage	8	3	8	unavailable	unavailable	0.219722	0.524012	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000017	gene	1	374728	380713	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000018	gene	1	478488	481165	unavailable	chr1_snp_variant_coverage	6	2	6	unavailable	unavailable	0.219722	0.476065	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000019	gene	1	498454	506264	unavailable	chr1_snp_variant_coverage	6	3	6	unavailable	unavailable	0.219722	0.493625	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000020	gene	1	536973	538644	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000021	gene	1	537710	543354	unavailable	chr1_snp_variant_coverage	10	2	10	unavailable	unavailable	0.219722	0.537353	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000022	gene	1	562088	572092	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000023	gene	1	585963	586445	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000024	gene	1	588917	593714	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000025	gene	1	603643	605643	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000026	gene	1	612564	615631	unavailable	chr1_snp_variant_coverage	5	2	5	unavailable	unavailable	0.219722	0.456435	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000027	gene	1	728968	731172	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000028	gene	1	728926	731089	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000029	gene	1	851835	854599	unavailable	chr1_snp_variant_coverage	6	2	6	unavailable	unavailable	0.219722	0.476065	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000030	gene	1	857790	860739	unavailable	chr1_snp_variant_coverage	5	2	5	unavailable	unavailable	0.219722	0.456435	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000031	gene	1	862579	865249	unavailable	chr1_snp_variant_coverage	4	2	4	unavailable	unavailable	0.219722	0.43418	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000032	gene	1	865792	869367	unavailable	chr1_snp_variant_coverage	11	2	11	unavailable	unavailable	0.219722	0.549704	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000033	gene	1	929884	934458	unavailable	chr1_snp_variant_coverage	5	2	5	unavailable	unavailable	0.219722	0.456435	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000034	gene	1	1047901	1053166	unavailable	chr1_snp_variant_coverage	6	3	6	unavailable	unavailable	0.219722	0.493625	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000035	gene	1	1168647	1171130	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000036	gene	1	1347665	1348723	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000037	gene	1	1353705	1354767	unavailable	chr1_snp_variant_coverage	4	2	4	unavailable	unavailable	0.219722	0.43418	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000038	gene	1	1356413	1361286	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000039	gene	1	1363710	1364282	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000040	gene	1	1365586	1366432	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000041	gene	1	1413839	1418982	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000042	gene	1	1433996	1436809	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000043	gene	1	1437163	1445599	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000044	gene	1	1446849	1450473	unavailable	chr1_snp_variant_coverage	0	3	0	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000045	gene	1	1486400	1488897	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000046	gene	1	1490494	1492684	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000047	gene	1	1497241	1500606	unavailable	chr1_snp_variant_coverage	3	3	3	unavailable	unavailable	0.219722	0.43418	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000048	gene	1	1513138	1514432	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000049	gene	1	1549241	1551011	unavailable	chr1_snp_variant_coverage	3	3	3	unavailable	unavailable	0.219722	0.43418	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000050	gene	1	1569644	1570940	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000051	gene	1	1625159	1626574	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000052	gene	1	1746418	1748443	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000053	gene	1	1765034	1768669	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000054	gene	1	1813011	1817601	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000055	gene	1	1843817	1849094	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000056	gene	1	1867814	1870416	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000057	gene	1	1902741	1905247	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000058	gene	1	1931016	1931904	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000059	gene	1	1944276	1944948	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000060	gene	1	1948773	1949587	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000061	gene	1	2080058	2081540	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000062	gene	1	2120489	2122320	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000063	gene	1	2131433	2137293	unavailable	chr1_snp_variant_coverage	8	2	8	unavailable	unavailable	0.219722	0.50951	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000064	gene	1	2154326	2155994	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000065	gene	1	2202278	2203787	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000066	gene	1	2250838	2255073	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000067	gene	1	2275067	2278872	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000068	gene	1	2281913	2284775	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000069	gene	1	2294904	2298329	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000070	gene	1	2560897	2565321	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000071	gene	1	2589835	2593568	unavailable	chr1_snp_variant_coverage	5	2	5	unavailable	unavailable	0.219722	0.456435	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000072	gene	1	2669251	2674068	unavailable	chr1_snp_variant_coverage	5	2	5	unavailable	unavailable	0.219722	0.456435	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000073	gene	1	2681220	2686364	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000074	gene	1	2686729	2687456	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000075	gene	1	2688460	2692024	unavailable	chr1_snp_variant_coverage	6	2	6	unavailable	unavailable	0.219722	0.476065	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000076	gene	1	2713412	2717527	unavailable	chr1_snp_variant_coverage	4	2	4	unavailable	unavailable	0.219722	0.43418	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000077	gene	1	2770145	2774208	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000078	gene	1	2810313	2815017	unavailable	chr1_snp_variant_coverage	2	2	2	unavailable	unavailable	0.219722	0.378101	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000079	gene	1	2830325	2833879	unavailable	chr1_snp_variant_coverage	1	2	1	unavailable	unavailable	0.219722	0.34091	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000080	gene	1	2839934	2843512	unavailable	chr1_snp_variant_coverage	0	2	0	unavailable	unavailable	0.219722	0.292963	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000081	gene	1	2851954	2855225	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000082	gene	1	2962312	2965020	unavailable	chr1_snp_variant_coverage	3	2	3	unavailable	unavailable	0.219722	0.408488	chr1_snp_coverage;window_coverage;database_detectability_proxy	detectability_score=0.5*database_detectability_proxy + scaled chr1 SNP/window coverage; not complete detectability correction	matched_decoy_v055_chr1_snp_prototype_v1
