decoy_pair_id	object_id	trait_id	object_type	decoy_object_id	decoy_object_type	match_rank	match_score	matching_level	matching_status	relaxation_level	relaxation_reason	n_candidates_before_filter	n_candidates_after_filter	matched_fields	unavailable_fields	field_balance_score	position_balance_score	density_balance_score	annotation_balance_score	detectability_balance_score	research_bias_balance_score	notes	pipeline_version
DP_000000037	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0140700	gene	2	0.947393	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.947393	0.967346	0.993031	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000038	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0139000	gene	3	0.94518	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.94518	0.960979	0.988331	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000039	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0140500	gene	4	0.913893	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.913893	0.983511	0.995338	1	1	0.590616	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000040	OBJ_GENE_00000062	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0138900	gene	5	0.906241	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.906241	0.956887	0.983702	1	1	0.590616	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000041	OBJ_GENE_00000067	data_lt_2007__spkf	gene	GENE_BG_Os01g0142800	gene	1	0.996146	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.996146	0.980732	1	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000042	OBJ_GENE_00000067	data_lt_2007__spkf	gene	GENE_BG_Os01g0142500	gene	2	0.952686	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.952686	0.993665	0.993174	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000043	OBJ_GENE_00000067	data_lt_2007__spkf	gene	GENE_BG_Os01g0141700	gene	3	0.948383	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.948383	0.976549	0.988777	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000044	OBJ_GENE_00000067	data_lt_2007__spkf	gene	GENE_BG_Os01g0141100	gene	4	0.943946	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.943946	0.945419	0.997719	1	1	0.776589	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000045	OBJ_GENE_00000067	data_lt_2007__spkf	gene	GENE_BG_Os01g0141600	gene	5	0.91072	L1_strict_matched	matched_background_candidate	L1_strict_matched	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.91072	0.971991	0.990991	1	1	0.590616	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000046	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0147900	gene	1	0.889545	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.889545	0.972203	0.475522	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000047	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0149350	gene	2	0.874944	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.874944	0.902079	0.472639	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000048	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0147300	gene	3	0.812245	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.812245	0.994104	0.476505	1	1	0.590616	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000049	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC_Os01g05420	gene	4	0.779112	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.779112	0.999994	0.476505	1	1	0.41906	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000050	OBJ_GENE_00000070	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC4325206	gene	5	0.779106	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.779106	0.999963	0.476505	1	1	0.41906	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
DP_000000051	OBJ_GENE_00000100	data_lt_2007__spkf	gene	GENE_BG_Os01g0164600	gene	1	0.857604	L3_relaxed_annotation_detectability	matched_background_candidate	L3_relaxed_annotation_detectability	strict_or_relaxed_by_available_chr1_proxy_fields	30	30	coordinate;position_bin;gene_density;variant_density;annotation_richness;database_detectability;research_bias;chr1_snp_coverage	MAF;LD;missingness;mappability;recombination_rate	0.857604	0.985411	0.302611	1	1	1	decoy is matched background only and must not be interpreted as true negative	matched_decoy_v055_chr1_snp_prototype_v1
