object_id	object_type	gene_id	gene_symbol	chrom	start	end	annotation_record_count	external_knowledge_hit_count	known_gene_proximity	database_source_count	trait_evidence_count	annotation_richness_score	literature_bias_proxy	research_bias_score	research_bias_fields_available	notes	pipeline_version
OBJ_GENE_00000011	gene	Os01g0104400	EULS3, OsEULS3, OrysaEULS3, r40c1, Osr40c1	1	226897	229229	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000012	gene	Os01g0104500	NAC20, OsNAC20, ONAC020, ONAC20, DLN1, OsDLN1	1	241680	243440	1	4	0	1	4	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.243239	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000013	gene	Os01g0104600	DET1, OsDET1	1	248828	256872	1	26	0	1	10	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.420912	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000014	gene	Os01g0105900	DNL4, DNL-4, OsDNL-4, OsDNL4	1	309520	313170	1	21	0	1	13	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.397257	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000015	gene	Os01g0106400	IRL, OsIRL	1	327128	328450	1	13	0	1	12	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.346574	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000016	gene	Os01g0106700	ATM, OsATM	1	335708	371194	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000017	gene	Os01g0106900	DXR, OsDXR, OsIspC, IspC	1	374728	380713	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000018	gene	Os01g0108600	HLH46, OsHLH46, OsbHLH	1	478488	481165	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000019	gene	Os01g0109300	WFSL1, ST3, OsSAMHD1	1	498454	506264	1	46	0	1	23	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.486478	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000020	gene	Os01g0110050	PHO1;1 CIS-NAT, OsPHO1;1 cis-NAT	1	536973	538644	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000021	gene	Os01g0110100	PHO1;1, OsPHO1;1	1	537710	543354	1	25	0	1	18	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.416526	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000022	gene	Os01g0110700	PPPCB, Osppc-b, ppc-b, OsSTA1, STA1, BTPC, OsBTPC	1	562088	572092	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000023	gene	Os01g0111000	PMEI1, OsPMEI1, PMEI-1	1	585963	586445	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000024	gene	Os01g0111200	OsLSm14b	1	588917	593714	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000025	gene	Os01g0111500	OsbHLH125, bHLH125, OsRSL1, RSL1	1	603643	605643	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000026	gene	Os01g0111600	MFT2, OsMFT2, OsMFT	1	612564	615631	1	33	0	1	14	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.44794	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000027	gene	Os01g0113350	MAK1, OsMAK1	1	728968	731172	1	4	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.243239	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000028	gene	Os01g0113350	MAK1, OsMAK1	1	728926	731089	1	4	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.243239	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000029	gene	Os01g0115700	RLK19, OsRLK19	1	851835	854599	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000030	gene	Os01g0115750	8TAK2, RLK20, Os8Tak2, YK21, OsRLCK12, RLCK12, OsRLK20	1	857790	860739	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000031	gene	Os01g0115800	8TAK1, RLK21, Os8Tak1, OsRLK21	1	862579	865249	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000032	gene	Os01g0115900	RLK22, OsRLK22	1	865792	869367	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000033	gene	Os01g0116600	SPL33, LMM5.1, SPL33/LMM5.1, OsSPL33, OsLMM5.1, OsHBS1, HBS1	1	929884	934458	1	30	0	1	19	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.437063	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000034	gene	Os01g0118300	SUI1, OsSUI1, OsPSS-1, PSS-1, OsPSS1, PSS1	1	1047901	1053166	1	5	0	1	5	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.25993	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000035	gene	Os01g0120700	HRC, OsHRC	1	1168647	1171130	1	7	0	1	7	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.287823	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000036	gene	Os01g0124200	RBBI3-1, APIP4, OsBBTI4, BBTI4, IBP1.1, RBBTI4, OsAPIP4	1	1347665	1348723	1	9	0	1	9	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.310613	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000037	gene	Os01g0124401	RBBI3-3, OsBBPI, BBPI, OsBBTI5, BBTI5, IBP1.2, OsIBP1.2	1	1353705	1354767	1	15	0	1	14	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.361296	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000038	gene	Os01g0124500	MRLK1, OsMRLK1	1	1356413	1361286	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000039	gene	Os01g0124600	RBBI2-4, OsRBBI2-4	1	1363710	1364282	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000040	gene	Os01g0124650	RBBI2-3	1	1365586	1366432	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000041	gene	Os01g0125800	AIP1, OsAIP1, OsWD40-1, OsWD40, WD40-1, WD40, OsDWD68, DWD68	1	1413839	1418982	1	3	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000042	gene	Os01g0126100	LPR1, OsLPR1	1	1433996	1436809	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000043	gene	Os01g0126200	LPR2, OsLPR2	1	1437163	1445599	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000044	gene	Os01g0126600	OsFDML2, FDML2	1	1446849	1450473	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000045	gene	Os01g0126900	LPR4, OsLPR4	1	1486400	1488897	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000046	gene	Os01g0127000	LPR3, OsLPR3	1	1490494	1492684	1	12	0	1	9	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.338506	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000047	gene	Os01g0127200	LPR5, OsLPR5, OsSTA2, STA2	1	1497241	1500606	1	19	0	1	16	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.38638	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000048	gene	Os01g0127500	TKPR2, OsTKPR2	1	1513138	1514432	1	9	0	1	9	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.310613	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000049	gene	Os01g0128000	2R_MYB1, MYB1, Os2R_MYB1, MYB2-1, OsMYB2-1	1	1549241	1551011	1	23	0	1	15	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.407262	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000050	gene	Os01g0128300	ABA4, MHZ4, OsMHZ4, MHZ4/OsABA4, OsABA4	1	1569644	1570940	1	12	0	1	12	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.338506	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000051	gene	Os01g0129200	SL1, sl1, sl1(t), stl1, opb, OPB, OPB1, ps, PS, DLN2, OsDLN2, OsJAG, JAG, OsJAG.1, OsJAG.2, ZOS1-02, OsZOS1-02	1	1625159	1626574	1	19	0	1	11	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.38638	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000052	gene	Os01g0131600	ERF108, RD2, OsERF#108, OsAP2, OsERF108, AP2/EREBP#001, AP2/EREBP1, OsCRF1, CRF1, ESR1, OsESR1	1	1746418	1748443	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000053	gene	Os01g0132100	NA	1	1765034	1768669	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000054	gene	Os01g0132800	CRS2, OsCRS2	1	1813011	1817601	1	12	0	1	11	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.338506	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000055	gene	Os01g0133400	PGLCT, OspGlcT1, pGlcT1, OsPGLCT	1	1843817	1849094	1	3	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000056	gene	Os01g0133900	NA	1	1867814	1870416	1	1	0	1	1	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.173287	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000057	gene	Os01g0134700	SARDL-1, OsSARDL-1, OsSARD1, CBP-LIKE	1	1902741	1905247	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000058	gene	Os01g0135700	CML16, OsCML16	1	1931016	1931904	1	16	0	1	12	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.368055	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000059	gene	Os01g0136000	HSP16.9C, OsHSP16.9C, Oshsp16.9C, OsHsp16.9C, OsHSP16.9C-CI, Oshsp 16.9C	1	1944276	1944948	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000060	gene	Os01g0136100	HSP16.9A, OsHsp16.9A, Oshsp16.9A, OsHSP16.9A-CI	1	1948773	1949587	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000061	gene	Os01g0139000	RTNLB1, OsRTNLB1	1	2080058	2081540	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000062	gene	Os01g0140100	AP4, OsAP4	1	2120489	2122320	1	3	0	1	3	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.22397	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000063	gene	Os01g0140400	MRLP1, PLRRP, OsMRLP1	1	2131433	2137293	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000064	gene	Os01g0140700	AP2/EREBP77, OsRAV8, RAV8, AP2/EREBP#077, OsRAV1, RAV1	1	2154326	2155994	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000065	gene	Os01g0141000	AP2/EREBP129, AP2/EREBP#129, OsRAV2, RAV2, OsRAV9, RAV9, OsTEM1, TEM1, OsRAV9/OsTEM1	1	2202278	2203787	1	17	0	1	9	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.374467	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000066	gene	Os01g0141700	OsUV-DDB2, UV-DDB2, OsWD40-2, OsDWD10, DWD10	1	2250838	2255073	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000067	gene	Os01g0142300	SQD2.2, SQD2, OsSQD2.2, OsSQD2	1	2275067	2278872	1	5	0	1	5	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.25993	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000068	gene	Os01g0142500	2R_MYB2, Os2R_MYB2, MYB2-2, OsMYB2-2	1	2281913	2284775	1	2	0	1	2	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.20118	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
OBJ_GENE_00000069	gene	Os01g0142800	PTR7, OsNPF8.1, NPF8.1, OsPTR7, OsNPF8.10, NPF8.10	1	2294904	2298329	1	11	0	1	10	1.5	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity	0.329882	annotation_record_count;external_knowledge_hit_count;database_source_count;known_gene_proximity_proxy	research_bias_score is a proxy, not complete literature bias correction	matched_decoy_v055_chr1_snp_prototype_v1
