candidate_pool_id	object_id	trait_id	object_type	candidate_object_id	candidate_object_type	candidate_chrom	candidate_start	candidate_end	candidate_length	same_chrom	position_bin	position_distance	gene_density_object	gene_density_candidate	variant_density_object	variant_density_candidate	annotation_richness_object	annotation_richness_candidate	evidence_source_coverage_object	evidence_source_coverage_candidate	database_detectability_object	database_detectability_candidate	interval_length_object	interval_length_candidate	chr1_snp_window_coverage_object	chr1_snp_window_coverage_candidate	chr1_snp_variant_coverage_object	chr1_snp_variant_coverage_candidate	candidate_pool_status	candidate_exclusion_reason	notes	pipeline_version
CP_000000011	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_petD	gene	1	72883	74110	1228	true	chr1:0Mb->chr1:0Mb	1765	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1228	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000012	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl14	gene	1	77248	77619	372	true	chr1:0Mb->chr1:0Mb	2172	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	372	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000013	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_petB	gene	1	71232	72690	1459	true	chr1:0Mb->chr1:0Mb	3300	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1459	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000014	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_psbH	gene	1	70881	71102	222	true	chr1:0Mb->chr1:0Mb	4270	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	222	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000015	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_psbN	gene	1	70646	70777	132	true	chr1:0Mb->chr1:0Mb	4550	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	132	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000016	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_psbT	gene	1	70490	70597	108	true	chr1:0Mb->chr1:0Mb	4718	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	108	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000017	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl16	gene	1	77729	79198	1470	true	chr1:0Mb->chr1:0Mb	3202	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1470	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000018	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_LOC_Os01g01140	gene	1	69675	70131	457	true	chr1:0Mb->chr1:0Mb	5358	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	457	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000019	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_orfX	gene	1	78306	79115	810	true	chr1:0Mb->chr1:0Mb	3449	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	810	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000020	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_psbB	gene	1	68799	70325	1527	true	chr1:0Mb->chr1:0Mb	5699	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1527	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000021	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rps3	gene	1	79344	80063	720	true	chr1:0Mb->chr1:0Mb	4442	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	720	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000022	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_Os01g0102400	gene	1	139826	141555	1730	true	chr1:0Mb->chr1:0Mb	65429	512	552	1	0	1.5	1.5	2	3	0.219722	0.219722	4877	1730	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000023	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl22	gene	1	80119	80568	450	true	chr1:0Mb->chr1:0Mb	5082	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	450	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000024	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_clpP	gene	1	67638	68288	651	true	chr1:0Mb->chr1:0Mb	7298	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	651	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000025	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rps12	gene	1	67390	67503	114	true	chr1:0Mb->chr1:0Mb	7815	512	512	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	114	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000026	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_OrsajCp068	gene	1	80915	81163	249	true	chr1:0Mb->chr1:0Mb	5778	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	249	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000027	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_OrsajCt145	gene	1	81050	81124	75	true	chr1:0Mb->chr1:0Mb	5826	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	75	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000028	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_OrsajCp070	gene	1	81286	81699	414	true	chr1:0Mb->chr1:0Mb	6231	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	414	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000029	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl2	gene	1	81180	82664	1485	true	chr1:0Mb->chr1:0Mb	6661	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	1485	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000030	OBJ_GENE_00000002	data_lt_2007__cult_code_repro	gene	GENE_BG_rpl23	gene	1	82683	82964	282	true	chr1:0Mb->chr1:0Mb	7562	512	515	1	0	1.5	1.5	2	0	0.219722	0.219722	4877	282	2	0	1	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000031	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106900	gene	1	374728	380713	5986	true	chr1:0Mb->chr1:0Mb	24269	657	670	8	0	1.5	1.5	2	3	0.219722	0.219722	35487	5986	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000032	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106800	gene	1	371831	374412	2582	true	chr1:0Mb->chr1:0Mb	19670	657	668	8	0	1.5	1.5	2	1	0.219722	0.219722	35487	2582	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000033	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0107000	gene	1	383250	386648	3399	true	chr1:0Mb->chr1:0Mb	31498	657	670	8	0	1.5	1.5	2	1	0.219722	0.219722	35487	3399	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000034	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC4326151	gene	1	335703	371194	35492	true	chr1:0Mb->chr1:0Mb	3	657	657	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	35492	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000035	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01689	gene	1	335809	370910	35102	true	chr1:0Mb->chr1:0Mb	92	657	656	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	35102	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000036	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_atp1	gene	1	352379	353908	1530	true	chr1:0Mb->chr1:0Mb	308	657	654	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	1530	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000037	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_trnF	gene	1	359447	359549	103	true	chr1:0Mb->chr1:0Mb	6047	657	660	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	103	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000038	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_nad9	gene	1	361793	362365	573	true	chr1:0Mb->chr1:0Mb	8628	657	660	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	573	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000039	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_trnY	gene	1	363110	363192	83	true	chr1:0Mb->chr1:0Mb	9700	657	660	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	83	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000040	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_rpl5	gene	1	342899	343465	567	true	chr1:0Mb->chr1:0Mb	10269	657	650	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	567	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000041	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_nad2	gene	1	363830	368550	4721	true	chr1:0Mb->chr1:0Mb	12739	657	662	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	4721	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000042	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0105800	gene	1	306871	308842	1972	true	chr1:0Mb->chr1:0Mb	45595	657	638	8	0	1.5	1.5	2	1	0.219722	0.219722	35487	1972	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000043	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_orf173	gene	1	367178	367699	522	true	chr1:0Mb->chr1:0Mb	13987	657	662	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	522	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000044	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_cox1	gene	1	338572	340147	1576	true	chr1:0Mb->chr1:0Mb	14092	657	646	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	1576	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000045	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0105700	gene	1	303233	306736	3504	true	chr1:0Mb->chr1:0Mb	48467	657	635	8	0	1.5	1.5	2	1	0.219722	0.219722	35487	3504	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000046	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_orf284	gene	1	337520	338374	855	true	chr1:0Mb->chr1:0Mb	15504	657	646	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	855	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000047	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_orf165	gene	1	337077	337574	498	true	chr1:0Mb->chr1:0Mb	16126	657	646	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	498	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000048	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC4326152	gene	1	371836	374448	2613	true	chr1:0Mb->chr1:0Mb	19691	657	668	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	2613	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000049	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01700	gene	1	371831	374470	2640	true	chr1:0Mb->chr1:0Mb	19699	657	668	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	2640	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000050	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC4326150	gene	1	332666	334011	1346	true	chr1:0Mb->chr1:0Mb	20113	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	1346	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000051	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01680	gene	1	332667	333689	1023	true	chr1:0Mb->chr1:0Mb	20273	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	1023	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000052	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106600	gene	1	332667	333689	1023	true	chr1:0Mb->chr1:0Mb	20273	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	1023	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000053	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC9270828	gene	1	331386	332366	981	true	chr1:0Mb->chr1:0Mb	21575	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	981	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000054	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_Os01g0106500	gene	1	331382	332345	964	true	chr1:0Mb->chr1:0Mb	21588	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	964	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000055	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_ccmFc	gene	1	330597	332908	2312	true	chr1:0Mb->chr1:0Mb	21699	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	2312	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000056	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01770	gene	1	409700	410818	1119	true	chr1:0Mb->chr1:0Mb	56808	657	674	8	0	1.5	1.5	2	1	0.219722	0.219722	35487	1119	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000057	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01670	gene	1	330238	332339	2102	true	chr1:0Mb->chr1:0Mb	22163	657	645	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	2102	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000058	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_trnE	gene	1	376067	376138	72	true	chr1:0Mb->chr1:0Mb	22651	657	670	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	72	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000059	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC_Os01g01710	gene	1	374728	380716	5989	true	chr1:0Mb->chr1:0Mb	24271	657	670	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	5989	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000060	OBJ_GENE_00000016	data_lt_2007__spkf	gene	GENE_BG_LOC4326153	gene	1	374734	380711	5978	true	chr1:0Mb->chr1:0Mb	24271	657	670	8	0	1.5	1.5	2	0	0.219722	0.219722	35487	5978	3	0	8	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000061	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116800	gene	1	935574	936704	1131	true	chr1:0Mb->chr1:0Mb	3968	446	449	5	0	1.5	1.5	4	1	0.219722	0.219722	4575	1131	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000062	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116900	gene	1	924451	956639	32189	true	chr1:0Mb->chr1:0Mb	8374	446	448	5	0	1.5	1.5	4	1	0.219722	0.219722	4575	32189	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000063	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116300	gene	1	915605	917636	2032	true	chr1:0Mb->chr1:0Mb	15551	446	449	5	0	1.5	1.5	4	1	0.219722	0.219722	4575	2032	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000064	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0116200	gene	1	911735	914246	2512	true	chr1:0Mb->chr1:0Mb	19181	446	451	5	0	1.5	1.5	4	1	0.219722	0.219722	4575	2512	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000065	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC4326095	gene	1	929789	934909	5121	true	chr1:0Mb->chr1:0Mb	178	446	446	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	5121	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000066	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC_Os01g02720	gene	1	929883	934914	5032	true	chr1:0Mb->chr1:0Mb	227	446	446	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	5032	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000067	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC107281770	gene	1	927756	929216	1461	true	chr1:0Mb->chr1:0Mb	3685	446	446	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	1461	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000068	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC_Os01g02730	gene	1	935574	938367	2794	true	chr1:0Mb->chr1:0Mb	4799	446	448	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	2794	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000069	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC107277517	gene	1	935405	938584	3180	true	chr1:0Mb->chr1:0Mb	4823	446	448	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	3180	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000070	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_Os01g0117000	gene	1	957907	960626	2720	true	chr1:0Mb->chr1:0Mb	27095	446	451	5	0	1.5	1.5	4	1	0.219722	0.219722	4575	2720	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
CP_000000071	OBJ_GENE_00000033	data_lt_2007__lsen	gene	GENE_BG_LOC_Os01g02710	gene	1	924451	925175	725	true	chr1:0Mb->chr1:0Mb	7358	446	447	5	0	1.5	1.5	4	0	0.219722	0.219722	4575	725	2	0	5	0	eligible_matched_background_candidate	NA	candidate is matched background only; it is not a true negative label	matched_decoy_v055_chr1_snp_prototype_v1
